ID,Type,English_Source,Human_Reference,Model_Output,Model,Adequacy,Fluency,Faithfulness,Human_Overall,BLEU,chrF++,BERTScore_F1
S1,Formal/Science,"On Monday, scientists at the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printed chip that can be manufactured using standard inkjet printers for about one US cent each.","सोमवार को, स्टैनफोर्ड विश्वविद्यालय के चिकित्सा विद्यालय के वैज्ञानिकों ने एक नए नैदानिक उपकरण के आविष्कार की घोषणा की जो कोशिकाओं को उनके प्रकार के अनुसार छाँट सकता है।","सन्‌ सोमवार में, अमरीका के स्तानफोर्ड यूनिवर्सिटी स्कूल में वैज्ञानिकों ने एक नए किस्म के इलाज के उपकरण के आविष्कार की घोषणा की जो टाइप से मेल खाती है: एक छोटी - सी छपाई मशीन जो अमरीका के लिए मानक स्याही के प्रिंटरों का इस्तेमाल कर सकती है ।",Helsinki_NLP,2.8,2.8,2.2,2.6,17.03,40.46,80.14
S2,Formal/Science,"Writing in the journal Science, the team describes how the chip can separate white blood cells from red blood cells in less than ten minutes.","साइंस पत्रिका में लिखते हुए, टीम ने बताया कि यह चिप दस मिनट से कम समय में लाल रक्त कोशिकाओं से श्वेत रक्त कोशिकाओं को अलग कर सकती है।","यह दल पत्रिका विज्ञान में लिखते हुए बताता है कि कैसे चिप लाल रक्‍त कोशिकाओं से दस मिनट से भी कम समय में, लाल रक्‍त कोशिकाएँ अलग कर सकती हैं ।",Helsinki_NLP,2.8,3.4,2.4,2.87,14.29,51.71,87.51
S3,Formal/Geography,"The Himalayan kingdom of Bhutan has a unique approach to measuring national progress, using Gross National Happiness instead of Gross Domestic Product.","हिमालयी राज्य भूटान राष्ट्रीय प्रगति मापने के लिए एक अनूठा दृष्टिकोण अपनाता है, सकल घरेलू उत्पाद की बजाय सकल राष्ट्रीय प्रसन्नता का उपयोग करते हुए।","उसके पास राष्ट्रीय प्रगति को मापने का एक अनोखा तरीक़ा है, घरेलू उत्पादन के बजाय कुल मिलाकर भौतिक ख़ुशी का प्रयोग करना ।",Helsinki_NLP,3.0,3.2,2.2,2.8,5.15,31.95,80.46
S4,Formal/News,The government has announced a new economic policy aimed at boosting growth in rural areas and reducing income inequality across the country.,सरकार ने ग्रामीण क्षेत्रों में विकास को बढ़ावा देने और देश भर में आय असमानता को कम करने के उद्देश्य से एक नई आर्थिक नीति की घोषणा की है।,सरकार ने एक नयी आर्थिक नीति घोषित की है जिसके उद्देश्‍य से गाँवों के क्षेत्रों में वृद्धि हो रही है और देश भर में आर्थिक समृद्धि कम हो रही है ।,Helsinki_NLP,2.0,3.8,2.0,2.6,12.43,42.72,81.91
S5,Formal/News,"Thousands of protesters gathered in the capital city on Friday, demanding immediate political reforms and accountability from elected officials.",हज़ारों प्रदर्शनकारी शुक्रवार को राजधानी में एकत्र हुए और तत्काल राजनीतिक सुधारों तथा निर्वाचित अधिकारियों से जवाबदेही की माँग की।,शुक्रवार के दिन राजधानी में हज़ारों विरोधियों ने जमा किया और चुने गए अधिकारियों से जल्द ही राजनीतिक सुधार और जवाबदेही की माँग की ।,Helsinki_NLP,3.0,2.8,3.8,3.2,9.23,49.67,85.2
S6,Conversational,"Yaar, the cricket match last night was absolutely lit — our team totally crushed it!","यार, कल रात का क्रिकेट मैच एकदम ज़बरदस्त था — हमारी टीम ने कमाल कर दिया!","यार, कल रात क्रिकेट मैच पूरी तरह से जलाया गया था — हमारी टीम ने उसे पूरी तरह कुचल दिया!",Helsinki_NLP,1.4,2.6,1.6,1.87,31.62,53.45,86.27
S7,Idiomatic,"It has been raining cats and dogs since morning, so I decided to stay indoors.","बाहर सुबह से मूसलाधार बारिश हो रही है, इसलिए मैंने घर के अंदर ही रहने का फैसला किया।",इसलिए मैंने घर - घर रहने का फैसला किया ।,Helsinki_NLP,1.4,2.8,1.2,1.8,10.68,37.67,81.77
S8,Idiomatic,You shouldn't judge a book by its cover.,किसी को केवल उसके बाहरी रूप से नहीं आंकना चाहिए।,आप इसके कवर द्वारा एक किताब न्याय नहीं करना चाहिए.,Helsinki_NLP,2.2,2.4,2.6,2.4,3.75,19.88,76.37
S1,Formal/Science,"On Monday, scientists at the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printed chip that can be manufactured using standard inkjet printers for about one US cent each.","सोमवार को, स्टैनफोर्ड विश्वविद्यालय के चिकित्सा विद्यालय के वैज्ञानिकों ने एक नए नैदानिक उपकरण के आविष्कार की घोषणा की जो कोशिकाओं को उनके प्रकार के अनुसार छाँट सकता है।",सोमवार को स्टैनफोर्ड विश्वविद्यालय के स्कूल ऑफ मेडिसिन के वैज्ञानिकों ने एक नए नैदानिक उपकरण के आविष्कार की घोषणा की जो कोशिकाओं को प्रकार के अनुसार क्रमबद्ध कर सकता हैः एक छोटा मुद्रित चिप जो मानक इंकजेट प्रिंटरों का उपयोग करके लगभग एक अमेरिकी सेंट प्रति उत्पादित किया जा सकता है।,NLLB_200,4.2,4.2,4.2,4.2,35.0,68.75,84.09
S2,Formal/Science,"Writing in the journal Science, the team describes how the chip can separate white blood cells from red blood cells in less than ten minutes.","साइंस पत्रिका में लिखते हुए, टीम ने बताया कि यह चिप दस मिनट से कम समय में लाल रक्त कोशिकाओं से श्वेत रक्त कोशिकाओं को अलग कर सकती है।","साइंस पत्रिका में लिखते हुए, टीम ने बताया कि कैसे चिप दस मिनट से भी कम समय में सफेद रक्त कोशिकाओं को लाल रक्त कोशिकाओं से अलग कर सकती है।",NLLB_200,4.2,4.4,4.2,4.27,60.11,81.4,95.4
